
2025/03/14 (14:17:22) | ===> btop++ v.1.4.0
2025/03/14 (14:17:22) | ERROR: Stall in Runner thread, restarting!

2025/03/14 (15:07:43) | ===> btop++ v.1.4.0
2025/03/14 (15:07:43) | ERROR: Stall in Runner thread, restarting!
2025/03/14 (15:07:52) | ERROR: Stall in Runner thread, restarting!
2025/03/14 (15:08:01) | ERROR: Stall in Runner thread, restarting!
2025/03/14 (15:08:09) | ERROR: Stall in Runner thread, restarting!
2025/03/14 (15:08:15) | ERROR: Stall in Runner thread, restarting!
2025/03/14 (15:08:21) | ERROR: Stall in Runner thread, restarting!

2025/03/14 (16:12:47) | ===> btop++ v.1.4.0
2025/03/14 (16:12:47) | ERROR: Stall in Runner thread, restarting!

2025/03/17 (14:13:32) | ===> btop++ v.1.4.0
2025/03/17 (14:13:32) | ERROR: Stall in Runner thread, restarting!
2025/03/17 (14:13:42) | ERROR: Stall in Runner thread, restarting!
2025/03/17 (14:13:48) | ERROR: Stall in Runner thread, restarting!
2025/03/17 (14:14:27) | ERROR: Stall in Runner thread, restarting!
2025/03/17 (14:14:32) | ERROR: Stall in Runner thread, restarting!

2025/03/17 (14:16:29) | ===> btop++ v.1.4.0
2025/03/17 (14:16:29) | ERROR: Stall in Runner thread, restarting!

2025/03/17 (14:59:54) | ===> btop++ v.1.4.0
2025/03/17 (14:59:54) | ERROR: Stall in Runner thread, restarting!
2025/03/17 (15:00:04) | ERROR: Stall in Runner thread, restarting!

2025/03/17 (15:38:19) | ===> btop++ v.1.4.0
2025/03/17 (15:38:19) | ERROR: Stall in Runner thread, restarting!
2025/03/17 (15:38:37) | ERROR: Stall in Runner thread, restarting!
2025/03/17 (15:38:44) | ERROR: Stall in Runner thread, restarting!
2025/03/17 (15:38:51) | ERROR: Stall in Runner thread, restarting!
2025/03/17 (15:38:58) | ERROR: Stall in Runner thread, restarting!
2025/03/17 (15:39:06) | ERROR: Stall in Runner thread, restarting!

2025/03/19 (08:18:23) | ===> btop++ v.1.4.0
2025/03/19 (08:18:23) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/03/19 (08:36:40) | ===> btop++ v.1.4.0
2025/03/19 (08:36:40) | ERROR: Stall in Runner thread, restarting!
2025/03/19 (08:36:46) | ERROR: Stall in Runner thread, restarting!
2025/03/19 (08:36:59) | ERROR: Stall in Runner thread, restarting!

2025/03/21 (08:49:37) | ===> btop++ v.1.4.0
2025/03/21 (08:49:37) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/03/21 (09:10:44) | ===> btop++ v.1.4.0
2025/03/21 (09:10:44) | ERROR: Stall in Runner thread, restarting!
